name,description,possible_values
n_p_ecg_p_04,"Type 1 Second-degree AV block, Mobitz I/Wenckebach on ECG at the time of admission to hospital","{0: 'no', 1: 'yes'}"
n_p_ecg_p_05,"Type 2 Second-degree AV block, Mobitz II/Hay on ECG at the time of admission to hospital","{0: 'no', 1: 'yes'}"
n_p_ecg_p_06,Third-degree AV block on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_p_ecg_p_07,LBBB (anterior branch) on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_p_ecg_p_08,LBBB (posterior branch) on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_p_ecg_p_09,Incomplete LBBB on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_p_ecg_p_10,Complete LBBB on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_p_ecg_p_11,Incomplete RBBB on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_p_ecg_p_12,Complete RBBB on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
fibr_ter_01,Fibrinolytic therapy by Сеliasum 750k IU,"{0: 'no', 1: 'yes'}"
fibr_ter_02,Fibrinolytic therapy by Сеliasum 1m IU,"{0: 'no', 1: 'yes'}"
fibr_ter_03,Fibrinolytic therapy by Сеliasum 3m IU,"{0: 'no', 1: 'yes'}"
fibr_ter_05,Fibrinolytic therapy by Streptase,"{0: 'no', 1: 'yes'}"
fibr_ter_06,Fibrinolytic therapy by Сеliasum 500k IU,"{0: 'no', 1: 'yes'}"
fibr_ter_07,Fibrinolytic therapy by Сеliasum 250k IU,"{0: 'no', 1: 'yes'}"
fibr_ter_08,Fibrinolytic therapy by Streptodecase 1.5m IU,"{0: 'no', 1: 'yes'}"
GIPO_K,"Hypokalemia, < 4 mmol/L","{0: 'no', 1: 'yes'}"
K_BLOOD,"Serum potassium content, mmol/L,","{0: 'no', 1: 'yes'}"
Na_BLOOD,"Serum sodium content mmol/L,",Continuous
ALT_BLOOD,"Serum AlAT content,  IU/L,",Continuous
AST_BLOOD,Serum AsAT content  IU/L,Continuous
KFK_BLOOD,Serum CPK content  IU/L,Continuous
L_BLOOD,"White blood cell count ,illions per liter,",Continuous
ESR,"Erythrocyte sedimentation rate,  ROE, mm",Continuous
TIME_B_S,Time elapsed from the beginning of the attack of CHD to the hospital,"{1: 'less than 2 hours', 2: '2-4 hours', 3: '4-6 hours', 4: '6-8 hours', 5: '8-12 hours', 6: '12-24 hours', 7: 'more than 1 days', 8: 'more than 2 days', 9: 'more than 3 days'}"
R_AB_1_n,Relapse of the pain in the first hours of the hospital period,"{0: 'there is no relapse', 1: 'only one', 2: '2 times', 3: '3 or more times'}"
R_AB_2_n,Relapse of the pain in the second day of the hospital period,"{0: 'there is no relapse', 1: 'only one', 2: '2 times', 3: '3 or more times'}"
R_AB_3_n,Relapse of the pain in the third day of the hospital period,"{0: 'there is no relapse', 1: 'only one', 2: '2 times', 3: '3 or more times'}"
NA_KB,Use of opioid drugs by the Emergency Cardiology Team,"{0: 'no', 1: 'yes'}"
NOT_NA_KB,Use of NSAIDs by the Emergency Cardiology Team,"{0: 'no', 1: 'yes'}"
LID_KB,Use of lidocaine by the Emergency Cardiology Team,"{0: 'no', 1: 'yes'}"
NITR_S,Use of liquid nitrates in the ICU,"{0: 'no', 1: 'yes'}"
NA_R_1_n,Use of opioid drugs in the ICU in the first hours of the hospital period,"{0: 'no', 1: 'once', 2: 'twice', 3: 'three times', 4: 'four times'}"
NA_R_2_n,Use of opioid drugs in the ICU in the second day of the hospital period,"{0: 'no', 1: 'once', 2: 'twice', 3: 'three times'}"
NA_R_3_n,Use of opioid drugs in the ICU in the third day of the hospital period,"{0: 'no', 1: 'once', 2: 'twice'}"
NOT_NA_1_n,Use of NSAIDs in the ICU in the first hours of the hospital period,"{0: 'no', 1: 'once', 2: 'twice', 3: 'three times', 4: 'four or more times'}"
NOT_NA_2_n,Use of NSAIDs in the ICU in the second day of the hospital period,"{0: 'no', 1: 'once', 2: 'twice', 3: 'three times'}"
NOT_NA_3_n,Use of NSAIDs in the ICU in the third day of the hospital period,"{0: 'no', 1: 'once', 2: 'twice'}"
LID_S_n,Use of lidocaine in the ICU,"{0: 'no', 1: 'yes'}"
B_BLOK_S_n,Use of beta-blockers in the ICU,"{0: 'no', 1: 'yes'}"
ANT_CA_S_n,Use of calcium channel blockers in the ICU,"{0: 'no', 1: 'yes'}"
GEPAR_S_n,Use of а anticoagulants (heparin) in the ICU,"{0: 'no', 1: 'yes'}"
ASP_S_n,Use of acetylsalicylic acid in the ICU,"{0: 'no', 1: 'yes'}"
TIKL_S_n,Use of Ticlid in the ICU,"{0: 'no', 1: 'yes'}"
TRENT_S_n,Use of Trental in the ICU,"{0: 'no', 1: 'yes'}"
FIBR_PREDS,Atrial fibrillation,"{0: 'no', 1: 'yes'}"
PREDS_TAH,Supraventricular tachycardia,"{0: 'no', 1: 'yes'}"
JELUD_TAH,Ventricular tachycardia,"{0: 'no', 1: 'yes'}"
FIBR_JELUD,Ventricular fibrillation,"{0: 'no', 1: 'yes'}"
A_V_BLOK,Third-degree AV block,"{0: 'no', 1: 'yes'}"
OTEK_LANC,Pulmonary edema,"{0: 'no', 1: 'yes'}"
RAZRIV,Myocardial rupture,"{0: 'no', 1: 'yes'}"
DRESSLER,Dressler syndrome,"{0: 'no', 1: 'yes'}"
ZSN,Chronic heart failure,"{0: 'no', 1: 'yes'}"
REC_IM,Relapse of the myocardial infarction,"{0: 'no', 1: 'yes'}"
P_IM_STEN,Post-infarction angina,"{0: 'no', 1: 'yes'}"
LET_IS,"Lethal outcome, cause,","{0: 'unknown', 1: 'cardiogenic shock', 2: 'pulmonary edema', 3: 'myocardial rupture', 4: 'progress of congestive heart failure', 5: 'thromboembolism', 6: 'asystole', 7: 'ventricular fibrillation'}"
